Zipcode,State,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
2126,MA,Suffolk County,Boston,5/31/2022,5.2
2127,MA,Suffolk County,Boston,5/31/2022,4
2128,MA,Suffolk County,Boston,5/31/2022,3.6
2129,MA,Suffolk County,Boston,5/31/2022,4.5
2130,MA,Suffolk County,Boston,5/31/2022,4.8
2131,MA,Suffolk County,Boston,5/31/2022,5
2132,MA,Suffolk County,Boston,5/31/2022,4.9
2134,MA,Suffolk County,Boston,5/31/2022,4.5
2135,MA,Suffolk County,Boston,5/31/2022,4.4
2136,MA,Suffolk County,Boston,5/31/2022,5.5
2138,MA,Middlesex County,Cambridge,5/31/2022,5.3
2139,MA,Middlesex County,Cambridge,5/31/2022,4.9
2140,MA,Middlesex County,Cambridge,5/31/2022,5.4
2141,MA,Middlesex County,Cambridge,5/31/2022,5
2142,MA,Middlesex County,Cambridge,5/31/2022,5.6
2143,MA,Middlesex County,Somerville,5/31/2022,4.2
2144,MA,Middlesex County,Somerville,5/31/2022,5.3
2145,MA,Middlesex County,Somerville,5/31/2022,5.2
2148,MA,Middlesex County,Malden,5/31/2022,5.2
2149,MA,Middlesex County,Everett,5/31/2022,4.8
2150,MA,Suffolk County,Chelsea,5/31/2022,4
2151,MA,Suffolk County,Revere,5/31/2022,4.8
2152,MA,Suffolk County,Winthrop,5/31/2022,5.1
2155,MA,Middlesex County,Medford,5/31/2022,4.9
2169,MA,Norfolk County,Quincy,5/31/2022,6
2170,MA,Norfolk County,Quincy,5/31/2022,5.6
2171,MA,Norfolk County,Quincy,5/31/2022,5.5
2176,MA,Middlesex County,Melrose,5/31/2022,5.8
2180,MA,Middlesex County,Stoneham,5/31/2022,5.8
2184,MA,Norfolk County,Braintree,5/31/2022,6.9
2186,MA,Norfolk County,Milton,5/31/2022,5.6
2188,MA,Norfolk County,Weymouth,5/31/2022,6.3
2189,MA,Norfolk County,Weymouth,5/31/2022,6.3
2190,MA,Norfolk County,Weymouth,5/31/2022,6.3
2191,MA,Norfolk County,Weymouth,5/31/2022,5.8
2199,MA,Suffolk County,Boston,5/31/2022,3.7
2210,MA,Suffolk County,Boston,5/31/2022,4
2215,MA,Suffolk County,Boston,5/31/2022,4.5
2301,MA,Plymouth County,Brockton,5/31/2022,5.8
2302,MA,Plymouth County,Brockton,5/31/2022,5.5
2303,MA,Plymouth County,Brockton,5/31/2022,5.8
2322,MA,Norfolk County,Avon,5/31/2022,6.5
2324,MA,Plymouth County,Bridgewater,5/31/2022,5.6
2330,MA,Plymouth County,Carver,5/31/2022,6.7
2332,MA,Plymouth County,Duxbury,5/31/2022,5.2
